10,Quotation (for loans above 2 lakhs),Quotation (for loans above 2 Lakhs),मूल्य विवरण (2 लाख से अधिक के ऋण के लिए),किमतीचे तपशील (2 लाखांपेक्षा जास्त ऋण साठी),വില വിശദാംശങ്ങൾ (2 ലക്ഷം രൂപയ്ക്ക് മുകളിലുള്ള വായ്പകൾക്ക്),விலை விவரங்கள் (ரூ. 2 லட்சத்துக்கும் அதிகமான கடன்களுக்கு),قیمت کی تفصیلات (2 لاکھ روپے سے اوپر کے قرضوں کے لیے),মূল্যের বিশদ বিবরণ (2 লাখ টাকার উপরে ঋণের জন্য),উদ্ধৃতি (2 লাখৰ ওপৰৰ ঋণৰ বাবে),કિંમતની વિગતો (રૂ. 2 લાખથી વધુની લોન માટે),کوٹیشن (2 لاکھ سے اوپر کے لون کے لیے),ಬೆಲೆ ವಿವರಗಳು (ರೂ.2 ಲಕ್ಷಕ್ಕಿಂತ ಹೆಚ್ಚಿನ ಸಾಲಗಳಿಗೆ),ମୂଲ୍ୟ ବିବରଣୀ (2 ଲକ୍ଷରୁ ଅଧିକ ଋଣ ପାଇଁ),Ka jingai jingmut (na ka bynta ki loan kiba palat ia ka 2 lak),ਕੀਮਤ ਦੇ ਵੇਰਵੇ (2 ਲੱਖ ਰੁਪਏ ਤੋਂ ਵੱਧ ਦੇ ਕਰਜ਼ਿਆਂ ਲਈ),ధర వివరాలు (రూ. 2 లక్షల కంటే ఎక్కువ రుణాలకు),किंमत तपशील (2 लाख रुपया वयर रिणां खातीर)
11,It is preferred to start the application from place of Business.,It is preferred to start the application from the place of Business.,आवेदन व्यवसाय स्थल से शुरू करना बेहतर होता है।,व्यवसाय साइटवरून अर्ज सुरू करणे चांगले आहे.,ബിസിനസ്സ് സൈറ്റിൽ നിന്ന് ആപ്ലിക്കേഷൻ ആരംഭിക്കുന്നതാണ് നല്ലത്.,வணிக தளத்தில் இருந்து விண்ணப்பத்தைத் தொடங்குவது நல்லது.,کاروباری سائٹ سے درخواست شروع کرنا بہتر ہے۔,ব্যবসার সাইট থেকে আবেদন শুরু করা ভাল।,ব্যৱসায়ৰ স্থানৰ পৰা আবেদন আৰম্ভ কৰাটো ভাল।,વ્યવસાયના સ્થળેથી એપ્લિકેશન શરૂ કરવાનું પસંદ કરવામાં આવે છે.,کاروبار کی جگہ سے درخواست شروع کرنا پسندیدہ ہے,ವ್ಯವಹಾರದ ಸ್ಥಳದಿಂದ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಲು ಆದ್ಯತೆ ನೀಡಲಾಗುತ್ತದೆ.,ବ୍ୟବସାୟ ସ୍ଥାନରୁ ଆବେଦନ ଆରମ୍ଭ କରିବାକୁ ପସନ୍ଦ କରାଯାଏ,Ka kham bha ban sdang ia ka aplikeshon na ka jaka jong ka kam.,ਬਿਜ਼ਨਸ ਦੀ ਥਾਂ ਤੋਂ ਐਪਲੀਕੇਸ਼ਨ ਸ਼ੁਰੂ ਕਰਨ ਨੂੰ ਤਰਜੀਹ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ।,వ్యాపార స్థలం నుండి దరఖాస్తును ప్రారంభించడం ఉత్తమం.,वेवसायाच्या सुवातेर सावन अर्ज सुरू करप पसंत करतात.
12,Resume Application,Resume Application,आवेदन फिर से शुरू करें,अर्ज पुन्हा सुरू करा,അപേക്ഷ പുനരാരംഭിക്കുക,விண்ணப்பத்தை மீண்டும் தொடங்கவும்,درخواست دوبارہ شروع کریں,আবেদন পুনরায় শুরু করুন,আবেদন পুনৰ আৰম্ভ কৰক,અરજી ફરી શરૂ કરો,دوبارہ درخواست شروع کریں,ಅರ್ಜಿಯನ್ನು ಪುನರಾರಂಭಿಸಿ,ଆବେଦନ ପୁନରାମ୍ଭ କରନ୍ତୁ,Pyni biang ia ka aplikeshon,ਐਪਲੀਕੇਸ਼ਨ ਨੂੰ ਮੁੜ ਸ਼ੁਰੂ ਕਰੋ,పునఃప్రారంభం అప్లికేషన్,अर्ज परतून सुरू करचो
13,Apply Now,Apply Now,अभी आवेदन करें,आता अर्ज करा,ഇപ്പോൾ അപേക്ഷിക്കുക,இப்போது விண்ணப்பிக்கவும்,ابھی درخواست دیں,এখন আবেদন করুন,এতিয়াই আবেদন কৰক,હવે અરજી કરો,ابھی درخواست دیں,ಈಗ ಅನ್ವಯಿಸು,ବର୍ତ୍ତମାନ ଆବେଦନ କରନ୍ତୁ,Apply mynta,ਹੁਣ ਲਾਗੂ ਕਰੋ,ఇప్పుడు దరఖాస్తు చేయండి,आतांच अर्ज करचो
14,How to Apply,How to Apply,आवेदन कैसे करें,अर्ज कसा करायचा,എങ്ങനെ അപേക്ഷിക്കാം,எப்படி விண்ணப்பிக்க வேண்டும்,درخواست دینے کا طریقہ,কিভাবে আবেদন করতে হয়,কেনেকৈ Apply কৰিব,કેવી રીતે અરજી કરવી,کیسے درخواست دیں,ಹೇಗೆ ಅನ್ವಯಿಸಬೇಕು,କିପରି ଆବେଦନ କରିବେ,Kumno ban apply .,ਅਰਜ਼ੀ ਕਿਵੇਂ ਦੇਣੀ ਹੈ,ఎలా దరఖాస్తు చేయాలి,अर्ज कसो करचो
15,Get your loan in 5 easy steps !,Get your loan in 5 easy steps!,5 आसान चरणों में अपना ऋण प्राप्त करें!,5 सोप्या चरणांमध्ये तुमचे ऋण  मिळवा!,5 ലളിതമായ ഘട്ടങ്ങളിലൂടെ നിങ്ങളുടെ ലോൺ നേടൂ!,5 எளிய படிகளில் உங்கள் கடனைப் பெறுங்கள்!,5 آسان مراحل میں اپنا قرض حاصل کریں!,5টি সহজ ধাপে আপনার ঋণ পান!,5টা সহজ পদক্ষেপত আপোনাৰ ঋণ লাভ কৰক!,5 સરળ પગલાંમાં તમારી લોન મેળવો!,5 آسان قدموں میں اپنا لون حاصل کریں,5 ಸುಲಭ ಹಂತಗಳಲ್ಲಿ ನಿಮ್ಮ ಸಾಲವನ್ನು ಪಡೆಯಿರಿ!,୫ ଟି ସହଜ ପଦକ୍ଷେପରେ ଆପଣଙ୍କର ଋଣ ମିଳନ୍ତୁ!,Ioh ia ka loan jong phi ha ki 5 tylli ki step kiba suk !,5 ਆਸਾਨ ਕਦਮਾਂ ਵਿੱਚ ਆਪਣਾ ਲੋਨ ਪ੍ਰਾਪਤ ਕਰੋ!,5 సులభమైన దశల్లో మీ రుణాన్ని పొందండి!,5 सोप्या पांवड्यानी तुमचें रीण मेळोवचें!
16,Check your loan offer,Check your loan offer,अपने ऋण प्रस्ताव की जाँच करें,तुमची ऋण ऑफर तपासा,നിങ്ങളുടെ ലോൺ ഓഫർ പരിശോധിക്കുക,உங்கள் கடன் சலுகையைச் சரிபார்க்கவும்,اپنے قرض کی پیشکش کو چیک کریں۔,আপনার ঋণ অফার চেক করুন,আপোনাৰ ঋণৰ অফাৰ পৰীক্ষা কৰক,તમારી લોન ઓફર તપાસો,اپنا لون آفر چیک کریں,ನಿಮ್ಮ ಸಾಲದ ಕೊಡುಗೆಯನ್ನು ಪರಿಶೀಲಿಸಿ,ଆପଣଙ୍କର ଋଣ ଅଫର ଯାଞ୍ଚ କରନ୍ତୁ,Peit ia ka jingtyrwa ram jong phi,ਆਪਣੇ ਲੋਨ ਦੀ ਪੇਸ਼ਕਸ਼ ਦੀ ਜਾਂਚ ਕਰੋ,మీ లోన్ ఆఫర్‌ను తనిఖీ చేయండి,तुमची रिणाची ऑफर तपासात
17,Enter & Verify UDYAM/Business details,Enter and verify your UDYAM/Business details,अपना उद्यम/व्यवसाय विवरण दर्ज करें और सत्यापित करें,तुमचा उद्यम/व्यवसाय तपशील प्रविष्ट करा आणि सत्यापित करा,നിങ്ങളുടെ എൻ്റർപ്രൈസ്/ബിസിനസ് വിശദാംശങ്ങൾ നൽകി പരിശോധിച്ചുറപ്പിക്കുക,உங்கள் நிறுவன/வணிக விவரங்களை உள்ளிட்டு சரிபார்க்கவும்,اپنے انٹرپرائز/کاروباری تفصیلات درج کریں اور تصدیق کریں۔,আপনার এন্টারপ্রাইজ/ব্যবসার বিবরণ লিখুন এবং যাচাই করুন,আপোনাৰ UDYAM/ব্যৱসায়ৰ বিৱৰণ প্ৰৱেশ কৰক আৰু পৰীক্ষা কৰক,તમારી એન્ટરપ્રાઇઝ/વ્યવસાયની વિગતો દાખલ કરો અને ચકાસો,اپنا یو ڈی وائی اے ایم/کاروبار کی تفصیلات داخل کریں اور تصدیق کریں,ನಿಮ್ಮ ಎಂಟರ್‌ಪ್ರೈಸ್/ವ್ಯಾಪಾರ ವಿವರಗಳನ್ನು ನಮೂದಿಸಿ ಮತ್ತು ಪರಿಶೀಲಿಸಿ,ଆପଣଙ୍କର ଉଦ୍ୟମ / ବ୍ୟବସାୟ ବିବରଣୀ ପ୍ରବେଶ କରନ୍ତୁ ଏବଂ ଯାଞ୍ଚ କରନ୍ତୁ,Pynrung bad pynshisha ia ki jingtip ba bniah jong ka UDYAM/Ka kam,ਆਪਣੇ ਐਂਟਰਪ੍ਰਾਈਜ਼/ਕਾਰੋਬਾਰੀ ਵੇਰਵਿਆਂ ਨੂੰ ਦਾਖਲ ਕਰੋ ਅਤੇ ਤਸਦੀਕ ਕਰੋ,మీ ఎంటర్‌ప్రైజ్/బిజినెస్ వివరాలను నమోదు చేయండి మరియు ధృవీకరించండి,तुमचो उद्देग/वेवसाय तपशील दाखयात आनी तपासात
18,Confirm loan amount & Tenure,Confirm the loan amount and tenure,ऋण राशि और अवधि की पुष्टि करें,ऋण रक्कम आणि कालावधीची पुष्टी करा,ലോൺ തുകയും കാലാവധിയും സ്ഥിരീകരിക്കുക,கடன் தொகை மற்றும் காலத்தை உறுதிப்படுத்தவும்,قرض کی رقم اور مدت کی تصدیق کریں۔,ঋণের পরিমাণ এবং মেয়াদ নিশ্চিত করুন,ঋণৰ পৰিমাণ আৰু কাৰ্যকাল নিশ্চিত কৰক,લોનની રકમ અને મુદતની પુષ્ટિ કરો,لون کی رقم اور مدت کی تصدیق کریں,ಸಾಲದ ಮೊತ್ತ ಮತ್ತು ಅವಧಿಯನ್ನು ದೃಢೀಕರಿಸಿ,ଋଣର ରାଶି ଏବଂ କାଳବିକ୍ରୟ ନିଶ୍ଚିତ କରନ୍ତୁ,Pynthikna ia ka ram bad ka por,ਕਰਜ਼ੇ ਦੀ ਰਕਮ ਅਤੇ ਕਾਰਜਕਾਲ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,లోన్ మొత్తం మరియు పదవీకాలాన్ని నిర్ధారించండి,रिणाची रक्कम आनी कार्यकाळ पुष्टी करप
19,Verify your Business location & Identify,Verify your Business location and identity,अपना व्यावसायिक स्थान और पहचान सत्यापित करें,तुमचे व्यवसाय स्थान आणि ओळख सत्यापित करा,നിങ്ങളുടെ ബിസിനസ്സ് ലൊക്കേഷനും ഐഡൻ്റിറ്റിയും പരിശോധിക്കുക,உங்கள் வணிக இருப்பிடம் மற்றும் அடையாளத்தைச் சரிபார்க்கவும்,اپنے کاروباری مقام اور شناخت کی تصدیق کریں۔,আপনার ব্যবসার অবস্থান এবং পরিচয় যাচাই করুন,আপোনাৰ ব্যৱসায়ৰ অৱস্থান আৰু পৰিচয় পৰীক্ষা কৰক,તમારા વ્યવસાયનું સ્થાન અને ઓળખ ચકાસો,اپنے کاروبار کی جگہ اور شناخت کی تصدیق کریں,ನಿಮ್ಮ ವ್ಯಾಪಾರ ಸ್ಥಳ ಮತ್ತು ಗುರುತನ್ನು ಪರಿಶೀಲಿಸಿ,ଆପଣଙ୍କର ବ୍ୟବସାୟ ଅବସ୍ଥାନ ଏବଂ ପରିଚୟ ଯାଞ୍ଚ କରନ୍ତୁ,Pynshisha ia ka jaka jong ka kam jong phi bad ithuh,ਆਪਣੇ ਕਾਰੋਬਾਰ ਦੀ ਸਥਿਤੀ ਅਤੇ ਪਛਾਣ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,మీ వ్యాపార స్థానం మరియు గుర్తింపును ధృవీకరించండి,तुमचो वेवसाय थळ आनी वळख तपासात
20,Complete digital documentation and Visit branch for disbursement,Complete digital documentation and visit your branch for disbursement,डिजिटल दस्तावेज़ीकरण पूरा करें और संवितरण के लिए अपनी शाखा में जाएँ,डिजिटल कागदपत्रे पूर्ण करा आणि वितरणासाठी तुमच्या शाखेला भेट द्या,ഡിജിറ്റൽ ഡോക്യുമെൻ്റേഷൻ പൂർത്തിയാക്കി പണം നൽകുന്നതിന് നിങ്ങളുടെ ബ്രാഞ്ച് സന്ദർശിക്കുക,"டிஜிட்டல் ஆவணங்களை பூர்த்தி செய்து, உங்கள் கிளையைப் பார்வையிடவும்",ڈیجیٹل دستاویزات کو مکمل کریں اور ادائیگی کے لیے اپنی برانچ پر جائیں۔,ডিজিটাল ডকুমেন্টেশন সম্পূর্ণ করুন এবং বিতরণের জন্য আপনার শাখায় যান,ডিজিটেল নথিপত্ৰ সম্পূৰ্ণ কৰক আৰু বিতৰণৰ বাবে আপোনাৰ শাখালৈ যাওক,ડિજિટલ દસ્તાવેજીકરણ પૂર્ણ કરો અને વિતરણ માટે તમારી શાખાની મુલાકાત લો,ڈیجیٹل دستاویزات مکمل کریں اور اپنی برانچ میں ڈسبرسمنٹ کے لیے جائیں,ಡಿಜಿಟಲ್ ದಸ್ತಾವೇಜನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ ಮತ್ತು ವಿತರಣೆಗಾಗಿ ನಿಮ್ಮ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ,ଡିଜିଟାଲ୍ ଡକ୍ୟୁମେଣ୍ଟେସନ୍ ସଂପୂର୍ଣ୍ଣ କରନ୍ତୁ ଏବଂ ବିତରଣ ପାଇଁ ଆପଣଙ୍କ ଶାଖାକୁ ଯାଆନ୍ତୁ,Pyndep ia ki kot ki sla digital bad leit sha ka tnad ban siew pisa,ਡਿਜੀਟਲ ਦਸਤਾਵੇਜ਼ਾਂ ਨੂੰ ਪੂਰਾ ਕਰੋ ਅਤੇ ਵੰਡ ਲਈ ਆਪਣੀ ਸ਼ਾਖਾ 'ਤੇ ਜਾਓ,డిజిటల్ డాక్యుమెంటేషన్‌ను పూర్తి చేయండి మరియు పంపిణీ కోసం మీ శాఖను సందర్శించండి,डिजिटल दस्तावेजीकरण पुराय करचें आनी वितरण करपा खातीर तुमच्या शाखेक भेट दिवची
21,Frequently Asked Questions,Frequently Asked Questions,अक्सर पूछे जाने वाले प्रश्न,वारंवार विचारले जाणारे प्रश्न,പതിവുചോദ്യങ്ങൾ,அடிக்கடி கேட்கப்படும் கேள்விகள்,اکثر پوچھے گئے سوالات,FAQ,সঘনাই সোধা প্ৰশ্ন,FAQ,اکثر پوچھے جانے والے سوالات,FAQ,ସାଧାରଣ ପ୍ରଶ୍ନ,Ki jingkylli ba ju kylli,FAQ,తరచుగా అడిగే ప్రశ్నలు,FAQ
22,Everything you need to know about the product.,Everything you need to know about the product,उत्पाद के बारे में वह सब कुछ जो आपको जानना आवश्यक है,आपल्याला उत्पादनाबद्दल माहित असणे आवश्यक असलेली प्रत्येक गोष्ट,ഉൽപ്പന്നത്തെക്കുറിച്ച് നിങ്ങൾ അറിയേണ്ടതെല്ലാം,தயாரிப்பு பற்றி நீங்கள் தெரிந்து கொள்ள வேண்டிய அனைத்தும்,ہر وہ چیز جو آپ کو پروڈکٹ کے بارے میں جاننے کی ضرورت ہے۔,পণ্য সম্পর্কে আপনার যা জানা দরকার,প্ৰডাক্টটোৰ বিষয়ে জানিবলগীয়া সকলো কথা,તમારે ઉત્પાદન વિશે જાણવાની જરૂર છે તે બધું,پروڈکٹ کے بارے میں آپ کو جاننے کی ضرورت ہے,ಉತ್ಪನ್ನದ ಬಗ್ಗೆ ನೀವು ತಿಳಿದುಕೊಳ್ಳಬೇಕಾದ ಎಲ್ಲವೂ,ଉତ୍ପାଦ ବିଷୟରେ ତୁମେ ଜାଣିବା ଆବଶ୍ୟକ ସମସ୍ତ କଥା,Baroh kaba phi donkam ban tip shaphang ka mar.,ਹਰ ਚੀਜ਼ ਜੋ ਤੁਹਾਨੂੰ ਉਤਪਾਦ ਬਾਰੇ ਜਾਣਨ ਦੀ ਲੋੜ ਹੈ,మీరు ఉత్పత్తి గురించి తెలుసుకోవలసిన ప్రతిదీ,उत्पादना विशीं तुमकां कळपाक जाय तें सगळें
23,What is the Pre-Qualified Business Loan (PQBL) ?,What is the pre-qualified Business Loan?,पूर्व-अर्हित व्यवसाय ऋण क्या है?,पूर्व-अर्हित व्यवसाय ऋण म्हणजे काय?,പ്രീ-ക്വാളിഫൈഡ് ബിസിനസ് ലോൺ എന്താണ്?,முன் தகுதி பெற்ற வணிகக் கடன் என்றால் என்ன?,پری کوالیفائیڈ بزنس لون کیا ہے؟,একটি প্রাক-যোগ্য ব্যবসা ঋণ কি?,প্ৰাক-যোগ্যতাসম্পন্ন ব্যৱসায়িক ঋণ কি?,પ્રી-ક્વોલિફાઇડ બિઝનેસ લોન શું છે?,پری کوالیفائیڈ بزنس لون کیا ہے؟,ಪೂರ್ವ-ಅರ್ಹತೆಯ ವ್ಯಾಪಾರ ಸಾಲ ಎಂದರೇನು?,ପୂର୍ବ-ଯୋଗ୍ୟ ବ୍ୟବସାୟ ଋଣ କ’ଣ?,Kaei ka ram ba la pynkhreh lypa (PQBL) ?,ਪ੍ਰੀ-ਕੁਆਲੀਫਾਈਡ ਬਿਜ਼ਨਸ ਲੋਨ ਕੀ ਹੈ?,ప్రీ-క్వాలిఫైడ్ బిజినెస్ లోన్ అంటే ఏమిటి?,पूर्व-अर्हितताय आशिल्लें वेवसायीक रीण म्हणल्यार कितें?
