Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,Odiya,KhaSI,Punjabi,Telegu,Konkani
E18,Invalid mpin count exceeds.,The number of attempts to enter the correct Mobile PIN (MPIN) has been exceeded. Please try again later or visit your Preferred Branch for assistance.,सही मोबाइल पिन (एमपिन) दर्ज करने के प्रयासों की संख्या पार हो गई है। कृपया बाद में पुनः प्रयास करें या सहायता के लिए अपनी पसंदीदा शाखा में जाएँ।,योग्य मोबाईल पिन (एमपीआयएन) प्रविष्ट करण्याच्या प्रयत्नांची संख्या ओलांडली आहे. कृपया नंतर पुन्हा प्रयत्न करा किंवा मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,ശരിയായ മൊബൈൽ പിൻ (എംപിഐഎൻ) നൽകാനുള്ള ശ്രമങ്ങളുടെ എണ്ണം കവിഞ്ഞു. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ബ്രാഞ്ച് സന്ദർശിക്കുക.,சரியான மொபைல் பின்னை (எம்பிஐஎன்) உள்ளிடுவதற்கான முயற்சிகளின் எண்ணிக்கை மீறப்பட்டுள்ளது. பிறகு முயற்சிக்கவும் அல்லது உதவிக்கு நீங்கள் விரும்பும் கிளைக்குச் செல்லவும்.,درست موبائل پن (ایمپیآئیاین) درج کرنے کی کوششوں کی تعداد سے تجاوز کر گیا ہے۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ برانچ پر جائیں۔,সঠিক মোবাইল পিন (এমপিআইএন) প্রবেশের প্রচেষ্টার সংখ্যা অতিক্রম করেছে৷ অনুগ্রহ করে পরে আবার চেষ্টা করুন বা সহায়তার জন্য আপনার পছন্দের শাখায় যান।,সঠিক মোবাইল পিন (এমপিআইএন) প্ৰৱেশৰ চেষ্টাৰ সংখ্যা অতিক্ৰম কৰা হৈছে। অনুগ্ৰহ কৰি পিছত পুনৰ চেষ্টা কৰক বা সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,સાચો મોબાઈલ પિન (એમપીઆઈએન) દાખલ કરવાના પ્રયાસોની સંખ્યા ઓળંગાઈ ગઈ છે. કૃપા કરીને પછીથી ફરી પ્રયાસ કરો અથવા સહાય માટે તમારી પસંદગીની શાખાની મુલાકાત લો.,صحیح موبائل پن (ایمپیآئیاین) درج کرنے کی کوششوں کی تعداد تجاوز کر گئی ہے۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ شاخ میں جائیں۔,ಸರಿಯಾದ ಮೊಬೈಲ್ ಪಿನ್ (ಎಂಪಿಐಎನ್) ಅನ್ನು ನಮೂದಿಸುವ ಪ್ರಯತ್ನಗಳ ಸಂಖ್ಯೆಯನ್ನು ಮೀರಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ସଠିକ୍ ମୋବାଇଲ୍ ପିନ (ଏମ୍ପିଆଇଏନ୍) ପ୍ରବେଶ କରିବାକୁ ଚେଷ୍ଟା ସଂଖ୍ୟା ଅତିକ୍ରମ କରିସାରିଛି | ଦୟାକରି ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ କିମ୍ବା ସହାୟତା ପାଇଁ ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka jingbun ki jingpyrshang ban pynrung ia u Mobile PIN (MPIN) uba biang ka la palat. Sngewbha pyrshang biang hadien lane leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਸਹੀ ਮੋਬਾਈਲ ਪਿੰਨ (ਐਮਪੀਐਨ) ਦਾਖਲ ਕਰਨ ਦੀਆਂ ਕੋਸ਼ਿਸ਼ਾਂ ਦੀ ਗਿਣਤੀ ਵੱਧ ਗਈ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ਜਾਂ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ ਵਿੱਚ ਜਾਓ।,సరైన మొబైల్ పిన్ (ఎంవిపిఎన్)ని నమోదు చేయడానికి చేసిన ప్రయత్నాల సంఖ్య మించిపోయింది. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి లేదా సహాయం కోసం మీ ప్రాధాన్య శాఖను సందర్శించండి.,योग्य मोबायल पिन (एमपीआयएन) घालपाच्या यत्नांची संख्या वयर गेल्या. उपकार करून फुडें परतून यत्न करात वा मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E19,You are not authorize to use mobile app,You are not authorized to use the Mobile App.,आप मोबाइल ऐप का उपयोग करने के लिए अधिकृत नहीं हैं।,तुम्ही मोबाइल ॲप वापरण्यासाठी अधिकृत नाही.,മൊബൈൽ ആപ്പ് ഉപയോഗിക്കാൻ നിങ്ങൾക്ക് അധികാരമില്ല.,மொபைல் பயன்பாட்டைப் பயன்படுத்த உங்களுக்கு அங்கீகாரம் இல்லை.,آپ کو موبائل ایپ استعمال کرنے کی اجازت نہیں ہے۔,আপনি মোবাইল অ্যাপ ব্যবহার করার জন্য অনুমোদিত নন।,মোবাইল এপ ব্যৱহাৰ কৰিবলৈ আপুনি অনুমোদিত নহয়।,તમે મોબાઇલ એપ્લિકેશનનો ઉપયોગ કરવા માટે અધિકૃત નથી.,آپ کو موبائل ایپ استعمال کرنے کی اجازت نہیں ہے۔,ನೀವು ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್ ಬಳಸಲು ಅಧಿಕಾರ ಹೊಂದಿಲ್ಲ.,ଆପଣ ମୋବାଇଲ୍ ଆପ୍ ବ୍ୟବହାର କରିବାକୁ ସ୍ୱୀକୃତ ନୁହଁନ୍ତି |,Kam wow pynemkaam ya ki Mobile App.,ਤੁਸੀਂ ਮੋਬਾਈਲ ਐਪ ਦੀ ਵਰਤੋਂ ਕਰਨ ਲਈ ਅਧਿਕਾਰਤ ਨਹੀਂ ਹੋ।,మొబైల్ యాప్‌ని ఉపయోగించడానికి మీకు అధికారం లేదు.,तुमकां मोबायल अप वापरपाक अधिकृत ना.
E20,Login PIN Expired.,Your Login PIN has expired. Please visit your Preferred Branch for assistance.,आपका लॉगिन पिन समाप्त हो गया है. कृपया सहायता के लिए अपनी पसंदीदा शाखा पर जाएँ।,तुमचा लॉगिन पिन कालबाह्य झाला आहे. कृपया मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,നിങ്ങളുടെ ലോഗിൻ പിൻ കാലഹരണപ്പെട്ടു. സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ശാഖ സന്ദർശിക്കുക.,உங்கள் உள்நுழைவு பின் காலாவதியாகிவிட்டது. உதவிக்கு உங்கள் விருப்பமான கிளைக்குச் செல்லவும்.,آپ کے لاگ ان پن کی میعاد ختم ہو گئی ہے۔ مدد کے لیے براہِ کرم اپنی پسندیدہ برانچ کا دورہ کریں۔,আপনার লগইন পিনের মেয়াদ শেষ হয়ে গেছে। সহায়তার জন্য অনুগ্রহ করে আপনার পছন্দের শাখায় যান।,আপোনাৰ লগইন পিনৰ ম্যাদ উকলি গৈছে। সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,તમારો લોગિન પિન સમાપ્ત થઈ ગયો છે. સહાય માટે કૃપા કરીને તમારી પસંદગીની શાખાની મુલાકાત લો.,آپ کا لاگ ان پن ختم ہو گیا ہے۔ براہ کرم مدد کے لیے اپنی پسندیدہ شاخ پر جائیں۔,ನಿಮ್ಮ ಲಾಗಿನ್ ಪಿನ್ ಅವಧಿ ಮುಗಿದಿದೆ. ಸಹಾಯಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଆପଣଙ୍କର ଲଗଇନ୍ ପିନ ମିଆଦ ପୂର୍ଣ୍ଣ ହୋଇଛି | ସହାୟତା ପାଇଁ ଦୟାକରି ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka Login PIN jong phi ka la kut por. Sngewbha leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਤੁਹਾਡੇ ਲੌਗਇਨ ਪਿੰਨ ਦੀ ਮਿਆਦ ਪੁੱਗ ਗਈ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ 'ਤੇ ਜਾਓ।,మీ లాగిన్ పిన్ గడువు ముగిసింది. సహాయం కోసం దయచేసి మీ ప్రాధాన్య శాఖను సందర్శించండి.,तुमचो लॉगीन पिन कालबाह्य जाला. उपकार करून मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E21,Incorrect Login PIN.,Your Login PIN is incorrect. Please visit your Preferred Branch for assistance.,आपका लॉगिन पिन गलत है. कृपया सहायता के लिए अपनी पसंदीदा शाखा पर जाएँ।,तुमचा लॉगिन पिन चुकीचा आहे. कृपया मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,നിങ്ങളുടെ ലോഗിൻ പിൻ തെറ്റാണ്. സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ശാഖ സന്ദർശിക്കുക.,உங்கள் உள்நுழைவு பின் தவறானது. உதவிக்கு உங்கள் விருப்பமான கிளைக்குச் செல்லவும்.,آپ کا لاگ ان پن غلط ہے۔ مدد کے لیے براہِ کرم اپنی پسندیدہ برانچ کا دورہ کریں۔,আপনার লগইন পিন ভুল। সহায়তার জন্য অনুগ্রহ করে আপনার পছন্দের শাখায় যান।,আপোনাৰ লগইন পিন ভুল। সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,તમારો લોગિન પિન ખોટો છે. સહાય માટે કૃપા કરીને તમારી પસંદગીની શાખાની મુલાકાત લો.,آپ کا لاگ ان پن غلط ہے۔ براہ کرم مدد کے لیے اپنی پسندیدہ شاخ پر جائیں۔,ನಿಮ್ಮ ಲಾಗಿನ್ ಪಿನ್ ತಪ್ಪಾಗಿದೆ. ಸಹಾಯಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଆପଣଙ୍କର ଲଗଇନ୍ ପିନ ଭୁଲ ଅଟେ | ସହାୟତା ପାଇଁ ଦୟାକରି ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka Login PIN jong ngi ka long kaba bakla. Sngewbha leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਤੁਹਾਡਾ ਲੌਗਇਨ ਪਿੰਨ ਗਲਤ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ 'ਤੇ ਜਾਓ।,మీ లాగిన్ పిన్ తప్పు. సహాయం కోసం దయచేసి మీ ప్రాధాన్య శాఖను సందర్శించండి.,तुमचो लॉगीन पिन चुकीचो आसा. उपकार करून मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E211,"Please enter correct Login-pin, you have 1 more attempts remaining",Please enter your correct Login PIN. You have 1 more attempt left.,कृपया अपना सही लॉगिन पिन दर्ज करें। आपके पास 1 और प्रयास शेष है.,कृपया तुमचा योग्य लॉगिन पिन प्रविष्ट करा. तुमच्याकडे अजून 1 प्रयत्न बाकी आहे.,നിങ്ങളുടെ ശരിയായ ലോഗിൻ പിൻ നൽകുക. നിങ്ങൾക്ക് ഒരു ശ്രമം കൂടി ബാക്കിയുണ്ട്.,உங்கள் சரியான உள்நுழைவு பின்னை உள்ளிடவும். இன்னும் 1 முயற்சி மீதமுள்ளது.,براہ کرم اپنا درست لاگ ان پن درج کریں۔ آپ کے پاس مزید 1 کوشش باقی ہے۔,অনুগ্রহ করে আপনার সঠিক লগইন পিন লিখুন। আপনার আরও ১টি প্রচেষ্টা বাকি আছে।,অনুগ্ৰহ কৰি আপোনাৰ সঠিক প্ৰৱেশ পিন দিয়ক। আপোনাৰ আৰু 1 টা প্ৰচেষ্টা বাকী আছে।,કૃપા કરીને તમારો સાચો લોગિન પિન દાખલ કરો. તમારી પાસે વધુ 1 પ્રયાસ બાકી છે.,مہربانی کرکے اپنا صحیح لاگ ان پن درج کریں۔ آپ کے پاس 1 اور کوشش باقی ہے۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸರಿಯಾದ ಲಾಗಿನ್ ಪಿನ್ ಅನ್ನು ನಮೂದಿಸಿ. ನಿಮಗೆ ಇನ್ನೂ 1 ಪ್ರಯತ್ನ ಉಳಿದಿದೆ.,ଦୟାକରି ଆପଣଙ୍କର ସଠିକ୍ ଲଗଇନ୍ ପିନ ପ୍ରବେଶ କରନ୍ତୁ | ଆପଣଙ୍କର ଆଉ 1 ଟି ପ୍ରୟାସ ବାକି ଅଛି |,Sngewbha pynrung ia u Login PIN uba dei. Ka don 1 tylli ki jingpyrshang ba sah.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਸਹੀ ਲੌਗਇਨ ਪਿੰਨ ਦਾਖਲ ਕਰੋ। ਤੁਹਾਡੇ ਕੋਲ 1 ਹੋਰ ਕੋਸ਼ਿਸ਼ ਬਾਕੀ ਹੈ।,దయచేసి మీ సరైన లాగిన్ పిన్‌ని నమోదు చేయండి. మీకు మరో 1 ప్రయత్నం మిగిలి ఉంది.,उपकार करून तुमचो योग्य लॉगीन पिन घालात. तुमकां आनीक 1 यत्न उरल्यात.
E212,"Please enter correct Login-pin, you have 2 more attempts remaining",Please enter your correct Login PIN. You have 2 more attempts left.,कृपया अपना सही लॉगिन पिन दर्ज करें। आपके पास 2 और प्रयास शेष हैं.,कृपया तुमचा योग्य लॉगिन पिन प्रविष्ट करा. तुमचे अजून २ प्रयत्न बाकी आहेत.,നിങ്ങളുടെ ശരിയായ ലോഗിൻ പിൻ നൽകുക. നിങ്ങൾക്ക് 2 ശ്രമങ്ങൾ കൂടി ശേഷിക്കുന്നു.,உங்கள் சரியான உள்நுழைவு பின்னை உள்ளிடவும். உங்களிடம் இன்னும் 2 முயற்சிகள் உள்ளன.,براہ کرم اپنا درست لاگ ان پن درج کریں۔ آپ کے پاس مزید 2 کوششیں باقی ہیں۔,অনুগ্রহ করে আপনার সঠিক লগইন পিন লিখুন। আপনার আরও ২টি প্রচেষ্টা বাকি আছে।,অনুগ্ৰহ কৰি আপোনাৰ সঠিক প্ৰৱেশ পিন দিয়ক। আপোনাৰ আৰু 2 টা প্ৰচেষ্টা বাকী আছে।,કૃપા કરીને તમારો સાચો લોગિન પિન દાખલ કરો. તમારી પાસે 2 વધુ પ્રયાસો બાકી છે.,مہربانی کرکے اپنا صحیح لاگ ان پن درج کریں۔ آپ کے پاس 2 اور کوششیں باقی ہیں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸರಿಯಾದ ಲಾಗಿನ್ ಪಿನ್ ಅನ್ನು ನಮೂದಿಸಿ. ನಿಮಗೆ ಇನ್ನೂ 2 ಪ್ರಯತ್ನಗಳು ಉಳಿದಿವೆ.,ଦୟାକରି ଆପଣଙ୍କର ସଠିକ୍ ଲଗଇନ୍ ପିନ ପ୍ରବେଶ କରନ୍ତୁ | ଆପଣଙ୍କର ଆଉ 2 ଟି ପ୍ରୟାସ ବାକି ଅଛି |,Sngewbha pynrung ia u Login PIN uba dei. Ka don sa 2 tylli ki jingpyrshang kiba sah.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਸਹੀ ਲੌਗਇਨ ਪਿੰਨ ਦਾਖਲ ਕਰੋ। ਤੁਹਾਡੇ ਕੋਲ 2 ਹੋਰ ਕੋਸ਼ਿਸ਼ਾਂ ਬਾਕੀ ਹਨ।,దయచేసి మీ సరైన లాగిన్ పిన్‌ని నమోదు చేయండి. మీకు మరో 2 ప్రయత్నాలు మిగిలి ఉన్నాయి.,उपकार करून तुमचो योग्य लॉगीन पिन घालात. तुमचे कडेन आनीक 2 यत्न उरल्यात.
E22,Your User ID is blocked by admin,Your User ID is blocked by the bank admin. Please try again later or visit your Preferred Branch for assistance.,आपकी उपयोगकर्ता आईडी बैंक व्यवस्थापक द्वारा ब्लॉक कर दी गई है। कृपया बाद में पुनः प्रयास करें या सहायता के लिए अपनी पसंदीदा शाखा में जाएँ।,तुमचा वापरकर्ता आयडी बँक प्रशासकाने ब्लॉक केला आहे. कृपया नंतर पुन्हा प्रयत्न करा किंवा मदतीसाठी तुमच्या पसंतीच्या शाखेला भेट द्या.,നിങ്ങളുടെ യൂസർ ഐഡി ബാങ്ക് അഡ്മിനിസ്‌ട്രേറ്റർ ബ്ലോക്ക് ചെയ്‌തിരിക്കുന്നു. ദയവായി പിന്നീട് വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ സഹായത്തിനായി നിങ്ങൾ തിരഞ്ഞെടുത്ത ബ്രാഞ്ച് സന്ദർശിക്കുക.,உங்கள் பயனர் ஐடி வங்கி நிர்வாகியால் தடுக்கப்பட்டுள்ளது. பிறகு முயற்சிக்கவும் அல்லது உதவிக்கு நீங்கள் விரும்பும் கிளைக்குச் செல்லவும்.,آپ کی صارف آئی ڈی کو بینک کے منتظم نے بلاک کر دیا ہے۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ برانچ پر جائیں۔,আপনার ব্যবহারকারী আইডি ব্যাঙ্ক প্রশাসক দ্বারা ব্লক করা হয়েছে. অনুগ্রহ করে পরে আবার চেষ্টা করুন বা সহায়তার জন্য আপনার পছন্দের শাখায় যান।,আপোনাৰ ব্যৱহাৰকাৰী আইডি বেংক প্ৰশাসকে ব্লক কৰিছে। অনুগ্ৰহ কৰি পিছত পুনৰ চেষ্টা কৰক বা সহায়ৰ বাবে আপোনাৰ পছন্দৰ শাখালৈ যাওক।,બેંક એડમિનિસ્ટ્રેટરે તમારું યુઝર આઈડી બ્લોક કરી દીધું છે. કૃપા કરીને પછીથી ફરી પ્રયાસ કરો અથવા સહાય માટે તમારી પસંદગીની શાખાની મુલાકાત લો.,آپ کی صارف آئی ڈی بینک ایڈمن کی طرف سے بلاک کر دی گئی ہے۔ براہ کرم بعد میں دوبارہ کوشش کریں یا مدد کے لیے اپنی پسندیدہ شاخ میں جائیں۔,ನಿಮ್ಮ ಬಳಕೆದಾರ ಐಡಿಯನ್ನು ಬ್ಯಾಂಕ್ ನಿರ್ವಾಹಕರು ನಿರ್ಬಂಧಿಸಿದ್ದಾರೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ ಅಥವಾ ಸಹಾಯಕ್ಕಾಗಿ ನಿಮ್ಮ ಆದ್ಯತೆಯ ಶಾಖೆಗೆ ಭೇಟಿ ನೀಡಿ.,ଆପଣଙ୍କର ୟୁଜର୍ ଆଇଡି ବ୍ୟାଙ୍କ ଆଡମିନିଷ୍ଟ୍ରେଟର୍ ଦ୍ୱାରା ଅବରୋଧ କରାଯାଇଛି | ଦୟାକରି ପରେ ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ କିମ୍ବା ସହାୟତା ପାଇଁ ଆପଣଙ୍କର ପସନ୍ଦିତ ଶାଖା ପରିଦର୍ଶନ କରନ୍ତୁ |,Ka User ID jong phi ka dei kaba la khang da ki admin jong ka bank. Sngewbha pyrshang biang hadien lane leit sha ka Preferred Branch jong phi ban ioh jingiarap.,ਬੈਂਕ ਪ੍ਰਸ਼ਾਸਕ ਦੁਆਰਾ ਤੁਹਾਡੀ ਉਪਭੋਗਤਾ ਆਈਡੀ ਨੂੰ ਬਲੌਕ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ ਵਿੱਚ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ ਜਾਂ ਸਹਾਇਤਾ ਲਈ ਆਪਣੀ ਪਸੰਦੀਦਾ ਸ਼ਾਖਾ ਵਿੱਚ ਜਾਓ।,మీ యూజర్ ఐడిని బ్యాంక్ అడ్మినిస్ట్రేటర్ బ్లాక్ చేసారు. దయచేసి తర్వాత మళ్లీ ప్రయత్నించండి లేదా సహాయం కోసం మీ ప్రాధాన్య శాఖను సందర్శించండి.,तुमचो वापरपी आयडी बँक प्रशासकान आडायला. उपकार करून फुडें परतून यत्न करात वा मदती खातीर तुमच्या आवडीच्या शाखेक भेट दिवची.
E23,Error in user deletion,Error in user deletion.,उपयोगकर्ता को हटाने में त्रुटि.,वापरकर्ता हटवताना त्रुटी.,ഉപയോക്താവിനെ ഇല്ലാതാക്കുന്നതിൽ പിശക്.,பயனரை நீக்குவதில் பிழை.,صارف کو حذف کرنے میں خرابی۔,ব্যবহারকারী মোছার সময় ত্রুটি।,ব্যৱহাৰকাৰী মচি পেলোৱাত ত্ৰুটি।,વપરાશકર્તાને કાઢી નાખવામાં ભૂલ.,صارف کو حذف کرنے میں غلطی۔,ಬಳಕೆದಾರರನ್ನು ಅಳಿಸುವಲ್ಲಿ ದೋಷ.,ଚାଳକ ବିଲୋପ କରିବାରେ ତ୍ରୁଟି |,Ka jingbakla ha ka jingpyndam ia u nongpyndonkam.,ਉਪਭੋਗਤਾ ਨੂੰ ਮਿਟਾਉਣ ਵਿੱਚ ਤਰੁੱਟੀ।,వినియోగదారుని తొలగించడంలో లోపం.,वापरपी काडून उडोवपाक त्रुटी.
E25-1,Please provide valid email address.,Please provide a valid Email ID.,कृपया एक वैध ईमेल आईडी प्रदान करें।,कृपया वैध ईमेल आयडी प्रदान करा.,സാധുവായ ഒരു ഇമെയിൽ ഐഡി നൽകുക.,சரியான மின்னஞ்சல் ஐடியை வழங்கவும்.,براہ کرم ایک درست ای میل آئی ڈی فراہم کریں۔,একটি বৈধ ইমেল আইডি প্রদান করুন.,অনুগ্ৰহ কৰি এটা বৈধ ইমেইল আইডি দিয়ক।,કૃપા કરીને માન્ય ઇમેઇલ આઈડી પ્રદાન કરો.,مہربانی کرکے ایک درست ای میل آئی ڈی فراہم کریں۔,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಇಮೇಲ್ ಐಡಿಯನ್ನು ಒದಗಿಸಿ.,ଦୟାକରି ଏକ ବୈଧ ଇମେଲ୍ ଆଇଡି ପ୍ରଦାନ କରନ୍ତୁ |,Sngewbha ai ia ka Email ID kaba biang.,ਕਿਰਪਾ ਕਰਕੇ ਇੱਕ ਵੈਧ ਈਮੇਲ ਆਈਡੀ ਪ੍ਰਦਾਨ ਕਰੋ।,దయచేసి చెల్లుబాటు అయ్యే ఇమెయిల్ ఐడిని అందించండి.,उपकार करून वैध ईमेल आयडी दिवचो.
E25-2,You have 2 attempt(s) left to enter the right credentials.,You have 2 more attempts left to enter the correct credentials.,सही क्रेडेंशियल दर्ज करने के लिए आपके पास 2 और प्रयास शेष हैं।,तुमच्याकडे योग्य क्रेडेन्शियल्स टाकण्यासाठी आणखी 2 प्रयत्न बाकी आहेत.,ശരിയായ ക്രെഡൻഷ്യലുകൾ നൽകാൻ നിങ്ങൾക്ക് 2 ശ്രമങ്ങൾ കൂടി ശേഷിക്കുന്നു.,சரியான சான்றுகளை உள்ளிட இன்னும் 2 முயற்சிகள் உள்ளன.,صحیح اسناد داخل کرنے کے لیے آپ کے پاس مزید 2 کوششیں باقی ہیں۔,সঠিক শংসাপত্রগুলি প্রবেশ করার জন্য আপনার আরও 2টি প্রচেষ্টা বাকি আছে৷,সঠিক প্ৰমাণপত্ৰ প্ৰৱেশ কৰিবলৈ আপোনাৰ আৰু ২টা প্ৰচেষ্টা বাকী আছে।,સાચી ઓળખપત્ર દાખલ કરવા માટે તમારી પાસે વધુ 2 પ્રયાસો બાકી છે.,صحیح اسناد درج کرنے کے لیے آپ کے پاس 2 اور کوششیں باقی ہیں۔,ಸರಿಯಾದ ರುಜುವಾತುಗಳನ್ನು ನಮೂದಿಸಲು ನಿಮಗೆ ಇನ್ನೂ 2 ಪ್ರಯತ್ನಗಳು ಉಳಿದಿವೆ.,ସଠିକ୍ ପରିଚୟପତ୍ର ପ୍ରବେଶ କରିବାକୁ ଆପଣଙ୍କର ଆଉ 2 ଟି ପ୍ରୟାସ ବାକି ଅଛି |,Ka don sa 2 tylli ki jingpyrshang ban pynrung ia ki jingpynshisha kiba dei.,ਤੁਹਾਡੇ ਕੋਲ ਸਹੀ ਪ੍ਰਮਾਣ ਪੱਤਰ ਦਾਖਲ ਕਰਨ ਲਈ 2 ਹੋਰ ਕੋਸ਼ਿਸ਼ਾਂ ਬਾਕੀ ਹਨ।,సరైన ఆధారాలను నమోదు చేయడానికి మీకు మరో 2 ప్రయత్నాలు మిగిలి ఉన్నాయి.,तुमकां योग्य प्रमाणपत्रां दाखोवपाक आनीक 2 यत्न उरल्यात.
E16-5,TPIN does not accept consecutive digits.,Transaction PIN (TPIN) should not have consecutive numbers.,लेनदेन पिन (टीपिन) में लगातार संख्याएँ नहीं होनी चाहिए।,ट्रान्झॅक्शन पिन (टीपिन) मध्ये सलग क्रमांक नसावेत.,ഇടപാട് പിൻ (ടിപിന്)-ൽ തുടർച്ചയായ നമ്പറുകൾ അടങ്ങിയിരിക്കരുത്.,பரிவர்த்தனை பின்னில் (டிபின்) தொடர்ச்சியான எண்கள் இருக்கக்கூடாது.,ٹرانزیکشن پن (ٹی پِن) میں لگاتار نمبر نہیں ہونے چاہئیں۔,লেনদেনের পিন (টিপিআইএন) এ অবশ্যই ধারাবাহিক সংখ্যা থাকবে না।,লেনদেনৰ পিনত (টিপিন) একেৰাহে নম্বৰ থাকিব নালাগে।,ટ્રાન્ઝેક્શન પિન (ટીપિન) માં સળંગ નંબરો ન હોવા જોઈએ.,ٹرانزیکشن پن (ٹی پِن) میں مسلسل نمبر نہیں ہونے چاہئیں۔,ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಸತತ ಸಂಖ್ಯೆಗಳನ್ನು ಹೊಂದಿರಬಾರದು.,କାରବାର ପିନ (ଟିପିନ) କ୍ରମାଗତ ସଂଖ୍ୟା ଧାରଣ କରିବା ଉଚିତ୍ ନୁହେଁ |,Ka PIN jong ka jingpyniaid (TPIN) kam dei ban don ki nombar kiba ia bud ryntih.,ਟ੍ਰਾਂਜੈਕਸ਼ਨ ਪਿੰਨ (ਟਿਪਿਨ) ਵਿੱਚ ਲਗਾਤਾਰ ਨੰਬਰ ਨਹੀਂ ਹੋਣੇ ਚਾਹੀਦੇ।,లావాదేవీ పిన్ (టిపిన్) తప్పనిసరిగా వరుస సంఖ్యలను కలిగి ఉండకూడదు.,वेव्हार पिन (टीपिन) हातूंत सलग क्रमांक आसूंक फावना.
